stockid,name,manufacturer,model,serialid,inspection_date,installation_date,service_date,last_results
1051,hoist,guldmann,gh9,120001-2564-2009,,2010-03-31,2018-03-21,21/3/17 Kristoff and Tom carried out thorough service
1052,hoist,guldmann,gh2,120001-1346-2010,,2010-03-31,2018-03-21,"21/3/17 Kristoff and Tom carried out thorough service, needs new lifting strap"
1053,hoist,guldmann,gh2,120001-3033-2010,,2010-03-30,2018-03-21,21/3/17 Kristoff and Tom carried out thorough service
1054,hoist,guldmann,gh2-dc,120001-1351-2010,,2010-03-31,2018-03-21,21/3/17 Kristoff and Tom carried out thorough service replaced handset and requires new lifting strap
1055,hoist,guldmann,gh2,120001-1321-2010,,2010-03-31,2018-03-21,21/3/17 Kristoff and Tom carried out thorough service
1056,hoist,guldmann,gh2,120001-1326-2010,2017-09-21,2010-03-31,2018-03-21,21/3/17 Kristoff and Tom carried out thorough service
1057,hoist,guldmann,gh2,120001-1313-2010,,2010-03-31,2018-03-21,21/3/17 Kristoff and Tom carried out thorough service
1058,hoist,guldmann,gh2,120001-1325-2010,,2010-03-31,2018-03-21,21/3/17 Kristoff and Tom carried out thorough service
1059,hoist,guldmann,gh2,120001-1344-2010,,2010-03-31,2018-03-21,21/3/17 Kristoff and Tom carried out thorough service
1060,hoist,guldmann,gh2,120001-1324-2010,,2010-03-31,2018-03-21,21/3/17 Kristoff and Tom carried out thorough service
1061,hoist,guldmann,gh2,120001-1339-2010,,2010-03-31,2018-03-21,21/3/17 Kristoff and Tom carried out thorough service
1063,hoist,guldmann,gh2,120001-1336-2010,2017-02-02,2010-03-31,2018-03-21,21/3/17 Kristoff and Tom carried out thorough service
1064,hoist,guldmann,gh2,120001-1334-2010,,2010-03-31,2018-03-21,21/3/17 Kristoff and Tom carried out thorough service
1065,hoist,guldmann,gh2,120001-1328-2010,,2010-03-31,2018-03-21,21/3/17 Kristoff and Tom carried out thorough service
1066,hoist,guldmann,gh2,120001-1341-2010,,2010-03-31,2018-03-21,21/3/17 Kristoff and Tom carried out thorough service
1067,hoist,guldmann,gh2,120001-1310-2010,,2010-03-31,2018-03-21,21/3/17 Kristoff and Tom carried out thorough service
1068,hoist,guldmann,gh8,120001-5051-2009,2017-02-02,2010-03-31,2018-03-21,21/3/17 Kristoff and Tom carried out thorough service
1069,hoist,guldmann,gh2,120001-1331-2010,,2010-03-31,2018-03-21,21/3/17 Kristoff and Tom carried out thorough service and replaced handset
1070,hoist,guldmann,gh2,120001-1338-2010,,2010-03-31,2018-03-21,21/3/17 Kristoff and Tom carried out thorough service
1071,hoist,guldmann,gh2,120001-1312-2010,2017-02-02,2010-03-31,2018-03-21,"21/3/17 Kristoff and Tom carried out thorough service, replaced handset and needs new lifting strap"
1072,hoist,guldmann,gh2,120001-1315-2010,2017-02-02,2010-03-31,2018-03-21,21/3/17 Tom carried out thorough service
1073,hoist,guldmann,gh2,120001-1330-2010,,2010-03-31,2018-03-21,21/3/17 Kristoff and Tom carried out thorough service
1062,hoist,guldmann,gh2-dc,120001-1352-2010,2017-02-02,2010-03-31,2018-03-21,21/3/17 Kristoff and Tom carried out thorough service and requires new lifting strap
1074,"3m x 4m on b  rails, 2 wall profiles",guldmann,gh3,27423,,2014-10-15,2017-06-16,16/6/2016 Thorough service carried out
1075,"3m x 4m on b  rails, 2 wall profiles",guldmann,gh3,27419,,2014-10-15,2017-06-16,16/6/16 ian carried out full service
1076,3m x 5m on b  rails,guldmann,gh3,56885,,2013-05-09,2017-06-16,16/6/2016 Ian carried out full service
1077,3m x 4m on b  rails,guldmann,gh3,17669,,2013-05-29,,"8/4/15 - Spoke to Avril Carberry - Service done by another provider, will revert once it is up for renewal."
1078,4m x 4m  b rail,guldmann,gh3,93298,2015-12-26,2015-06-25,2017-06-16,1/6/2016 throrough service carried out by Ian
1079,4m x 4m  b rail,guldmann,gh3,93301,2015-12-26,2015-06-25,2017-06-16,16/6/2016 throrough service carried out by Ian
1080,4m x 4m  b rail,guldmann,gh3,93313,2015-12-26,2015-06-25,2017-06-16,16/06/2016  thoroughly serviced by Ian
1081,4m x 4m  b rail,guldmann,gh3,93300,2015-12-26,2015-06-25,2017-06-16,16/6/2016 throrough service carried out by Ian
1082,4m x 4m  b rail,guldmann,gh3,93306,2015-12-26,2015-06-25,2017-06-16,16/06/2016 fully serviced by Ian
1083,4m x 4m  b rail,guldmann,gh3,93314,2015-12-26,2015-06-25,2017-06-16,16/6/16 fully serviced by ian
1084,4m x 4m  b rail,guldmann,gh3,93303,2015-12-26,2015-06-25,2017-06-16,1/6/2016 throrough service carried out by Ian
1085,3m x 4m on b  rails,guldmann,gh3,56878,,2013-05-29,2017-06-16,16/6/2016 Thorough service carried out
1086,3m x 4m on b  rails,guldmann,gh3,17683,,2013-05-29,2014-05-29,"8/4/15 - Spoke to Avril Carberry - Service done by another provider, will revert once it is up for renewal."
1087,4m x 4m  b rail,guldmann,gh3,93305,2015-12-26,2015-06-25,2017-06-16,16/6/16 full service done by Ian
1088,3m x 4m on b  rails,guldmann,gh3,19141,,2013-05-29,2017-06-16,16/6/2016
1089,3m x 4m on b  rails,guldmann,gh3,82135,,2013-05-29,2017-06-19,16/06/2016 Ian did thorough service
1090,3m x 4m on b  rails,guldmann,gh3,17677,,2013-05-29,2017-06-16,16/6/2016 ian did full service
1091,scales,guldmann,250kg,tba,,2016-09-02,2017-09-02,Tony delivered digital scales
1092,"3m x 4m on b  rails, 2 wall profiles",guldmann,gh3,27416,,2014-10-15,2017-06-16,16/6/16 full service carried out by ian
1093,3m x 4m on b  rails,guldmann,gh3,17679,,2013-05-29,2017-06-16,8/2/17 called out to repair new handset
1094,3m x 4m on b  rails,guldmann,gh3,17678,,2013-05-29,2017-06-16,16/6/2016 Ian carried out full service
1095,3m x 4m on b  rails,guldmann,gh3,17670,,2013-05-29,2017-06-16,16/6/2016 ian did thorough service
1096,"3m x 4m on b  rails, 1 wall profiles",guldmann,gh3,60543,,2014-10-15,2017-06-16,16/06/2016 thorough service carried out by Ian
1097,3m x 4m on b  rails,guldmann,gh3,82147,,2013-05-29,2017-06-16,23/06/2016 handset exchanged by Kristoff
1098,4m x 4m  b rail,guldmann,gh3,93302,2015-12-26,2015-06-25,2017-06-16,16/6/2016 throrough service carried out by Ian
1099,3m x 4m on b  rails,guldmann,gh3,82143,,2013-05-29,2017-06-16,16/6/2016
1100,"3m x 4m on b  rails, 2 wall profiles",guldmann,gh3,60550,,2014-10-15,2017-06-16,16/6/2016
1101,3m x 4m on b  rails,guldmann,gh3,47337,,2013-05-29,,"8/4/15 - Spoke to Avril Carberry - Service done by another provider, will revert once it is up for renewal."
1102,"3m x 4m on b  rails, 2 wall profiles",guldmann,gh3,60554,,2014-10-15,2017-06-16,16/6/16 thorough service carried out
1103,"3m x 4m on b  rails, 2 wall profiles",guldmann,gh3,27412,,2014-10-15,2017-06-16,16/6/16 thorough service carried out by Ian
1104,4m x 4m  b rail,guldmann,gh3,93299,2015-12-26,2015-06-25,2017-06-16,16/06/2016 thorough service carried out by ian
1105,3m x 4m on b  rails,guldmann,gh3,57337,,2013-05-29,2017-06-16,16/6/2016 Ian did thorough service
1106,4m x 4m  b rail,guldmann,gh3,93312,2015-12-26,2015-06-25,2017-06-16,1/6/2016 throrough service carried out by Ian
1107,"3m x 4m on b  rails, 2 wall profiles",guldmann,gh3,27414,,2014-10-15,2017-06-16,16/6/16 ian carried out full service
1108,"3m x 4m on b  rails, 2 wall profiles",guldmann,gh3,27417,,2014-10-15,2017-06-16,16/6/16 ian carried out full service
1109,"3m x 4m on b  rails, 2 wall profiles",guldmann,gh3,27424,,2014-10-15,2017-06-16,16/6/16 full service carried out
1110,3m x 4m on b  rails,guldmann,gh3,17665,,2013-05-29,2017-06-16,16/6/16 Ian carried out full service
1111,4m x 4m  b rail,guldmann,gh3,93297,2015-12-26,2015-06-25,2017-06-16,16/06/2016 Full service carried out by Ian
1112,4m x 4m  b rail,guldmann,gh3,93304,2016-12-16,2015-06-25,2017-06-16,16/6/2016 thorough service carried out by Ian
1113,3m x 4m on b  rails,guldmann,gh3,56883,,2013-05-29,2017-06-16,16/6/16 Thorough service carried out by Ian
1123,bathtub,beka,k2,0217.27.08,,2008-10-28,2017-02-25,25/2/16 Ian did full service
1124,bathtub,beka,k2,0221.33.08,,2008-10-28,2015-06-18,
1125,bathtub,beka,k2,0220.33.08,,2008-10-28,2017-02-25,25/2/16 ian did full service
1126,hoist,guldmann,gh2,120001-3414-2004,,2005-01-18,2016-05-26,26/5/15 Full servie carried out
1127,washbasin,ropox,manual,xxxxxx,,2009-09-30,2010-09-30,
1128,hoist,guldmann,gh1,99355,,2015-10-22,2017-11-30,30/11/2016 thorough service carried out by Krystoff
1130,bathtub,ropox,aqualine,119 -1000,,2006-05-19,2013-08-09,
1131,bathtub,ropox,aqualine,113 -1000,,2006-05-12,2013-08-09,
1132,hoist 2m x 7m partial room cover,guldmann,gh3,41753,,2014-10-21,2018-02-01,1/2/17 thorough service carried out and replaced lifting strap
1133,hoist,guldmann,gh2,120001-4289-2008,,2009-07-21,2011-05-10,
1134,changing bench,spahn reha,vario,40-30626-8,,2009-07-21,2011-05-10,
1135,v-amat,spahn reha,vamat,5669,,2009-07-21,2011-05-10,
1137,erfi system,erfi,si centre,,,2008-04-08,,
1139,bath,beka,k2,0373.46.11,,2011-11-28,2018-02-16,16/2/17 kyrstoff carried out full service
1140,bath,beka,k2,0371.46.11,,2011-11-28,2018-02-16,9/3/2017 handset for shower replaced by krystoff
1138,bath,beka,k2,0372.46.11,,2011-11-28,2018-02-16,16/2/17 tthorough service carried out by krystoff
1141,3m x 4m on b  rails,guldmann,gh1,94937,,2013-02-08,2017-12-22,22/12/2016 full service carried out by tom
1142,v-amat,spahn reha,v-amat,2833,,,,22/9 /15 NO LONGER IN USE
1143,v-amat,spahn reha,v-amat,2946,,,,229/2015 NO LONGER IN USE
1144,v-amat,spahn reha,v-amat,2933,,,,22/9/15 NO LONGER IN USE
1145,3.109m x 2.441m room cover,guldmann,gh2+2r,120001-2581-2008,,2011-09-14,2016-09-14,14/09/2015 Ruiri carried out full service
1146,changing bench,ropox,vario,0467,,2007-08-10,2011-08-29,
1161,bathtub,beka,k2,xx,,2010-04-01,2011-03-31,
1162,bathtub,beka,k2,xx,,2010-04-01,2011-03-31,
1154,bathtub,beka,k2-spa,0249.07.09,,2009-10-16,2013-07-26,
1158,bathtub,beka,k2-spa,0267.22.09,,2009-10-16,2013-07-26,
1157,bath,beka,k2,x,,2011-11-28,2012-11-27,
1155,bathtub,beka,k2,0289.44.09,,2009-11-04,2013-03-01,
1156,bathtub,beka,k2,0290.44.09,,2009-11-04,2010-11-03,
1159,hoist,guldmann,gh2,120001-2723-2006,,2006-12-01,2009-02-07,
1160,hoist,guldmann,gh1,66683,2016-02-10,2015-08-10,2016-08-10,10/08/2015 Ruiri installed 3.5m straight track on GH1 hoist
1163,hoist,guldmann,gh2,120001-3302-2007,,2007-08-23,2010-09-10,
1167,bathtub,beka,k2,170 -1000,,2007-11-14,2008-11-14,
1168,bathtub,beka,k2,0293.46.09,,2010-06-02,2017-11-09,"9/11/16 serviced bath, replaced  washer and new turning knob by krystoff"
1166,hoist,guldmann,gh2,0182.41.07,,,2017-11-09,9/11/16 serviced bath and replaced washers and fitted magnet by kyrstoff
1164,gh1,guldmann,3m straight track,35771,,2011-06-16,2018-01-18,13/2/17 replaced handset
1169,changing bench,ropox,vario,67 -1000/,,2005-10-13,2018-02-13,13/2/17 - s/n 0288 thoroughly serviced bench replaced new hand set
1173,hoist,guldmann,gh2-dc,120001-1577-2009,,2009-04-15,2011-04-18,
1175,6m x 4m,guldmann,gh3,17669,,2013-10-29,2017-02-23,23/2/16 Ruiri did a thorough service
1176,v-amat,spahn reha,v-amat,87 -1000,,2006-02-02,2007-02-02,
1177,hoist,guldmann,gh2,120001-1296-2008,,2008-03-05,2012-06-16,
1178,aqualine,ropox,1.6,0181,,2008-03-05,2011-06-16,
1181,4.2m x 4m room cover,guldmann,gh3,04954,,2011-09-28,2012-09-27,
1182,hoist,guldmann,gh2,120001-2723-2004,,2004-10-20,2015-01-23,
1183,hoist,guldmann,gh2,120001-2722-2004,,2004-10-28,2015-01-23,
1189,bath,beka,k2,0680.32.04,,,,24/8/16 install new actuator into the bath
1188,shower trolley,beka,sina shower trolley,930507200,,2016-03-04,2017-03-04,4/3/16 Ian delivered Sina Shower trolley
1187,gh1 hoist onto 4m x 4m,guldmann,gh1,24897,,2016-02-16,2017-02-16,16/2/16 Ruiri and Kristoff installed system
1190,hoist,guldmann,gantry gh1,TBA,,2014-09-02,2015-09-02,2.9m gantry system -installed by Scott
1191,changing bench,ropox,vario,DUPLICATE,,2006-10-03,2015-07-01,
1192,v-amat,spahn reha,vamat,DUPLICATE,,2006-10-03,2009-12-03,
1193,hoist,guldmann,gh2,120001-3301-2006,,2006-10-03,2018-05-03,03/05/17 Full service done by Krzys. 2 batteris and 1 PC board replaced.
1194,hudson,ropox,1.6,0540,,2006-10-03,2018-05-03,03/05/17 Full service done by Krzys.
1195,vamat,spahn reha,,5265,,2006-10-03,2018-05-03,03/05/17 Full service done by Krzys.
1196,hoist,guldmann,gh2,120001-4723-2007,,2008-01-16,2009-01-15,
1205,hoist,guldmann,gh2,120001-3909-2003,,2004-03-22,2015-03-09,
1202,bathtub,beka,k2,36 -1000,,2004-03-22,2005-03-22,
1203,shower trolley,beka,multicare,37 -1000,,2004-03-22,2005-03-22,
1204,hoist,guldmann,gh2,120001-3908-2003,,2003-02-26,2014-10-17,
1208,gh3,guldmann,6m x 4m room cover on b rails,15639,,2011-06-22,2012-06-21,
1211,hoist,guldmann,gh3 200 110 0000,15579,,2011-04-14,2012-04-13,
1209,shower trolley,beka,sina,211115689,,2011-04-14,2012-04-13,
1210,screen,eganmed,nightingale 5 section,211115689,,2011-04-14,2012-04-13,
1212,k3,beka,bath tub,0358 41 11,,2012-03-23,2013-03-22,
1213,hoist,guldmann,gh2,120001-4182-2010,,2010-07-06,2018-04-27,27/04/17 Full service done by Krzys.
1215,bathtub,beka,k2,0239.04.09,2016-03-09,2009-03-05,2016-09-04,04/09/2015 Bath thoroughly serviced
1216,hoist,guldmann,gh2,120001-3413-2004,,2004-12-17,2011-09-20,
1217,hoist,guldmann,gh2,120001-2087-2004,,2004-07-27,2011-05-04,
1221,hoist,guldmann,gh3 200 110 0000,08398,,2011-03-21,2013-09-26,
1222,hoist,guldmann,gh2,120001-1659-2007,,2007-03-14,2013-07-02,
1223,hoist,guldmann,gh2,120001-1230-2007,,2007-02-06,2010-10-01,
1224,hoist,guldmann,gl3,0032-0502,,2003-01-01,2006-06-10,
1225,k2,beka,k2-spa,0360.41,,2011-11-17,2012-11-16,
1227,hoist,guldmann,gh2,120001-0640-2003,,2003-04-23,2004-04-22,
1240,hoist,guldmann,gh2,120001-1605-2005,,2008-05-28,2017-12-16,16/12/2016 thorough service carried out by krystoff
1241,hoist,guldmann,gh2,120001-1606-2005,,2006-02-01,2017-12-16,16/12/16 full service carried out and new hand set
1239,hoist,guldmann,gh2,120001-0082-2001,,2002-02-01,2017-12-16,16/12/2016 full service carried out and 2 batteries replaced by krystoff
1238,hoist,guldmann,gh2,120001-0081-2001,,2003-01-01,2017-12-16,16/12/16 kyrstoff carried out full service and replaced emergency stop
1237,hoist,guldmann,gh2,120001-0080-2001,,2002-02-01,2017-12-16,16/12/16  service hoist thoroughly by kkrystoff
1236,hoist,guldmann,gh2,120001-0074-2001,,2003-01-01,2017-12-16,"16/12/2016 thorough service carried out, 1 new hand control replaced"
1231,hoist,guldmann,gh2,120001-4517-2007,,2008-03-20,2017-12-16,16/12/16 full service carried out
1232,hoist,guldmann,gh2,120001-4516-2007,,2008-03-20,2017-12-16,16/12/2016 full service carried out by krystoff
1233,hoist,guldmann,gh2,120001-4513-2007,,2008-03-20,2017-12-16,16/12/16 full service carried out by krystoff
1235,hoist,guldmann,gh2,120001-0072-2001,,2002-02-01,2017-12-16,"16/12/16 full service carried out by krystoff 2 batteries replaced,"
1242,hoist,guldmann,gh2,120001-4519-2007,,2008-03-20,2017-12-16,16/12/16 thorough service carried out
1230,v-amat,spahn reha,v-amat,4 -1000  3166,,2003-01-01,,unable to be repaired  - now defunct
1234,screens,silentia,9 section white,,,2009-04-22,,
1243,hoist,guldmann,gh2 ac,120001-4478-2010,,2011-02-24,2017-12-16,16/12/16 full service carried out
1244,hoist,guldmann,gh2 ac,120001-4479-2010,,2011-02-24,2017-12-16,16/12/16 full service carried out
1246,erfi system,erfi,,,,2013-08-27,,
1247,vario,ropox,1.6,N401151,,,2015-02-20,NEW VARIO MATTRESS PURCHASED MAY 2014
1250,hoist,guldmann,gh2,120001-1160-2005,,2005-02-25,2011-02-08,
1251,hoist,guldmann,gh2,120001-3833-2005,,2005-02-25,2011-02-09,
1248,shower trolley,beka,sina,0309 110679,,2009-02-05,2010-02-05,
1249,shower trolley,beka,sina,0309 110680,,2009-02-05,2010-02-05,
1252,hoist,guldmann,mobile,xxxx,,2005-02-25,2011-06-18,
1253,v-amat,spahn reha,vmat,6334,,,2017-08-12,12/8/16 ruriri carried out full service
1254,hoist,guldmann,gh2,120001-4441-2008,,2008-11-20,2009-11-19,
1255,bath,beka,k2 + spa,0139.16.06,,2007-05-14,2016-03-31,31/3/16 ian and scott did full service
1256,hoist,guldmann,gh2,120001-1095-2007,,2007-05-14,2016-03-31,31/3/15 scott and ian did thorough service
1257,hoist,guldmann,gh2,1883,,2007-05-14,2016-03-31,31/3/15 scott and ian carried out full service.
1258,hoist,guldmann,gh2,120001-1943-2007,,2007-05-14,2015-02-13,31/03/15 - This s/n is not matching what the engineer has on his report 1883 - changed fields back and duplicated record
1259,hoist,guldmann,gh2-dc,120001-2567-2008,2016-03-17,2008-09-18,2017-08-04,4/8/16 thorough service carried out by Ruiri
1260,vario 1.6,ropox,vario,0176 NOT IN USE,,2003-01-01,2014-12-16,"8/9/16 DID NOT REQUIRE A SERVICE, NOT IN USE"
1262,bed,wi-bo,sentida,2016027361-0002,,2016-12-19,2017-12-19,19/12/2016 - bed  and mattress delivered by Krystoff
1263,bed,wi-bo,sentida,2016027361-0001,,2016-12-19,2017-12-19,19/12/2016 - bed  and mattress delivered by Krystoff
1264,bathtub,beka,sanus,168 -1000,,2007-11-15,2008-11-15,
1265,bathtub,beka,sonas,0742,,2005-12-06,2013-04-24,
1266,bathtub,beka,k2,77 -1000,,2005-12-06,2013-04-24,
1268,hoist,guldmann,gl3,0081-1103,,2004-01-01,2017-08-24,18/8/16 service done on mobile hoist and new batteries required
1269,hoist,guldmann,gh2-dc,120001-2060-2004,,2005-01-30,2008-10-18,
1271,hoist,guldmann,gh2,120001-2926-2007,,2007-04-04,2011-09-14,
1272,hoist,guldmann,gh2,120001-1224-2007,,2007-04-04,2011-09-14,
1273,changing bench,ropox,vario 1.6,N41-3329,,2015-09-02,2016-09-02,02/09/2015 deliver and install vario 1.6 and mattress
1274,hoist,guldmann,gh2,120001-2637-2004,,2004-10-13,2015-03-20,20/6/2016 inspection carried out by Ian
1275,hoist,guldmann,gh2,120001-2637-2004,,2004-10-13,2017-12-20,20/6/2016 Inspection carried out and PC board replaced
1276,hoist,guldmann,gh2,120001-0792-2003,,2003-05-08,2007-03-08,
1277,hoist,guldmann,gh2 ac,120001-4280-2008,,2008-08-11,2017-12-22,22/12/16 thorough service carried out and 2 batteries replaced
1278,changing bench,ropox,vario,103606556,,2003-03-29,2014-03-19,
1279,hoist,guldmann,gh2,120001-3494-2003,,2004-02-12,2017-12-22,22/12/2016 thorough service carried out
1280,hoist,guldmann,gh2,120001-xxxx-2009,,2009-08-11,2010-08-10,
1281,changing bench,ropox,vario,N40-0895,,2010-05-19,2014-03-19,
1297,hoist,guldmann,gh2,120001-3162-2003,,2003-10-01,2014-12-09,
1295,avero classic,beka,classic,0692.39.11,,2011-10-11,2012-10-10,
1292,hoist,guldmann,gh2-dc,120001-4293-2006,,2006-12-09,2015-04-02,
1293,chair,cura seating,cura,,,2013-11-11,2014-11-11,
1294,hoist,guldmann,gh2-dc,120001-3058-2004,,2004-11-29,2015-04-02,
1282,chair,cura seating,cura,239295,,2014-01-24,2015-01-24,
1291,hoist,guldmann,gh2-dc,120001-1088-2008,,2014-04-02,2015-04-02,"04/11/14 Mariusz carried our full repair, combi lock blocked up by a large amount of dust"
1284,chair,cura seating,cura,,,2013-12-11,2014-12-11,Ref: CHRISTINE KELLY
1287,guldmann hoist,guldmann,switch track,1052-2004,,,2015-03-20,
1298,hoist,guldmann,gh2,120001-3163-2003,,2003-10-02,2015-04-03,"hoist checked due to water damage, no problems, all tested"
1286,chair,cura seating,wheelchair,,,2015-02-19,2016-02-19,Cura Chair delivered 19/2/2015
1288,chair,cura seating,wheelchair,,,2013-11-12,2014-11-12,Ref: brian Costello
1283,hoist,guldmann,gh2-dc,120001-4277-2006,,2006-12-09,2015-04-02,
1285,hoist,guldmann,gh2-dc,141 -1000,,2006-12-04,2007-12-04,
1290,hoist,guldmann,gh3,56877,,2012-05-28,2014-06-05,
1296,hoist,guldmann,gh1,56876,,2012-05-28,2014-06-05,
1289,hoist,guldmann,gh3,56875,,2012-05-28,2014-06-05,
1304,hoist,guldmann,gh2,120001-1016-2007,,2007-01-19,2015-04-03,
1305,hoist,guldmann,gh2,120001-1017-2007,,2008-01-19,2015-04-03,
1309,hoist,guldmann,gh2,120001-1019-2007,,2007-01-19,2015-04-24,
1312,changing bench,ropox,bench,29 -1000,,2004-01-22,2010-03-06,
1314,hoist,guldmann,gh2,120001-1743-2004,,2004-07-07,2015-07-30,"23/9/14 Ian replaced end covers, requires new pick up and needs new charge station"
1313,hoist,guldmann,gh2,120001-0639-2003,,2003-09-26,2015-04-02,
1300,hoist,guldmann,gh2-powerdrive,120001-3471-2003,,2003-10-01,2015-04-02,
1301,hoist,guldmann,gh2-dc,120001-4534-2007,,2007-12-18,2015-04-02,
1302,hoist,guldmann,gh2,120001-3150-2007,,2007-08-01,2015-04-02,
1315,hoist,guldmann,gh2,120001-1746-2004,,2004-07-07,2015-04-02,
1303,hoist,guldmann,gh2,120001-1090-2009,,2010-02-16,2014-02-15,
1310,digital scales,guldmann,250kg,113461-1069-2007,,2007-01-01,2014-06-05,
1307,hoist,guldmann,gh2-dc,120001-4533-2007,,2008-02-08,2015-04-02,Scott replaced handset
1308,hoist,guldmann,gh2-dc,120001-4539-2007,,2008-02-08,2015-03-28,replaced the handset
1311,hoist,guldmann,gh2,18 -1000,,2003-09-26,2004-09-25,
1316,hoist,guldmann,gh2-dc,120001-2661-2002,,2004-01-22,2014-11-09,
1306,hoist,guldmann,gh2,120001-1018-2007,,2007-01-19,2015-04-03,
1299,bed,wi-bo,sentida,xxxx,,2010-07-01,2011-06-30,
1317,shower bed,ropox,aqualine 1.4,N40-0979,,2012-01-24,2013-01-23,
1318,changing bench,ropox,vario,0100,,2004-07-06,2011-02-01,
1319,hoist,guldmann,gh2,120001-1589-2004-0,,2004-07-06,2013-01-23,
1320,hoist,guldmann,gh1 onto 4m x 4m room cover,24887,,2016-02-28,2018-01-23,23/1/2017 Krystoff carried out full service
1322,stairlift,meditek,140 deluxe,,,2006-11-20,,
1323,3m straight track,guldmann,gh1,56935,,2012-08-21,2013-08-21,
1324,1.6m aqualine,ropox,aqualine,N40-1141,,2012-08-21,2014-11-01,
1325,nursing table,ropox,vario,N41-3253,,2014-09-18,2017-04-11,10/03/17  Bench temporary fixed. Handset ordered + 2nd visit 03/04/17 handset replaced.
1328,erfi system,erfi,,,,2013-08-28,,
1329,changing bench,spahn reha,vario,,,2008-09-24,2011-03-07,
1333,hoist,guldmann,gh2,120001-1733-2002,,2002-07-30,2009-03-12,
1334,hoist,guldmann,gl3,12071-1196-2001,,2002-07-30,2006-10-18,
1335,screen,eganmed,nightingale,Janet Daly,,2016-07-11,2017-07-11,installed floor mounted 12 panel screen
1338,hoist,guldmann,gh2,120001-0178-2004,,2008-06-07,2009-05-15,
1336,hoist,guldmann,gh2-dc,120001-4125-2008,,2008-10-07,2017-04-05,25/3/2016 new handset and new end cover installed
1339,hoist,guldmann,gh2-dc,120001-1083-2007,,2007-05-21,2017-07-27,27/7/16 ruiri carried out full service
1340,hoist,guldmann,gh2,120001-1082-2007,,2007-05-21,2017-07-27,27/7/16 ruiri carried out full service
1341,shower bed,ropox,vario,163 -1000,,2007-09-13,2008-09-13,
1346,hoist,guldmann,gh2,120001-2085-2004,,2004-03-05,2008-06-12,
1342,hoist,guldmann,gh2,120001-0368-2004,,2004-03-05,2008-06-12,
1349,hoist,guldmann,gh2,120001-2982-2003,,2004-03-05,2008-06-12,
1348,hoist,guldmann,gh2,120001-2685-2004,,2004-03-05,2008-06-12,
1343,hoist,guldmann,gh2,120001-0463-2004,,2004-03-05,2008-06-12,
1345,hoist,guldmann,gh2,120001-2079-2004,,2004-08-23,2008-06-12,
1347,hoist,guldmann,gh2,120001-2117-2004,,2004-08-25,2008-06-12,
1344,hoist,guldmann,gh2,120001-1336-2004,,2007-01-11,2008-06-12,
1351,oxford midi 170,,mobile hoist,MDEL04113519,,,2015-09-09,9/9/2015 serviced by Ian - 2 new rear wheels with brakes required
1352,oxford dipper,,dipper 140,DIPPO4112776,,,2016-09-09,09/09/2015 serviced by Ian
1353,oxford midi 170,,mobile hoist,MDEL04113520,,,2016-09-09,9/9/2015 serviced by Ian - new castor required with brake
1354,gh2 dc,guldmann,gh2 dc,3356-2008,,2008-09-29,2016-07-30,01/12/2015 Cleaned pick up repair by Ian
1355,hoist,beka,pool,3209L10055,,2009-08-13,2014-12-09,
1356,changing bench,ropox,vario,91 -1000,,2006-03-02,2007-03-02,
1358,hoist,guldmann,gl3 - mobile,xxxx,,2010-12-14,2011-12-13,
1359,hoist,guldmann,gh2,120001-2173-2008,,2008-04-08,2018-01-17,17/1/17 thorough service carried out by tom and krystoff
1360,v-amat,spahn reha,v-amat,15 -1000-3979,,2003-08-05,2015-09-16,27/7/15 - ruairi went to repair vamat but advised new seals and new element required
1362,hoist,guldmann,gh2-dc,120001-2394-2008,,2008-09-04,2013-04-24,
1363,hoist,guldmann,gh2-dc,120001-2393-2008,,2008-09-04,2013-04-24,
1364,hoist,guldmann,gh2-dc,120001-1836-2008,,2008-09-04,2013-04-24,
1365,changing bench,ropox,vario,need to go back for this,,2008-09-04,2013-04-24,
1366,flexi wash basin,ropox,vario,need to go back for this,,2008-09-23,2009-09-04,
1367,hoist,guldmann,gh2,12000-2845-2007,,2007-10-23,2008-10-23,
1376,hoist,guldmann,gh2f,120001-1112-2008,,2008-08-27,2011-08-13,
1368,hoist,guldmann,gh2 f,120001-1115-2008,,2008-08-27,2010-09-10,
1369,hoist,guldmann,gh2 f,120001-1116-2008,,2008-08-27,2010-09-10,
1370,flexi trolley anchor,guldmann,gh2 f,12461-2048-2008,,2008-08-27,2009-08-27,
1371,flexi trolley anchor,guldmann,gh2 f,12461-2058-2008,,2008-08-27,2009-08-27,
1372,flexi trolley anchor,guldmann,gh2 f,12461-2054-2008,,2008-08-27,2009-08-27,
1373,flexi trolley anchor,guldmann,gh2 f,12461-2056-2008,,2008-08-27,2009-08-27,
1374,flexi trolley anchor,guldmann,gh2 f,12461-2050-2008,,2008-08-27,2009-08-27,
1375,flexi trolley anchor,guldmann,gh2 f,12461-2057-2008,,2008-08-27,2009-08-27,
1377,flexi trolley anchor,guldmann,gh2 f,12461-2061-2008,,2008-08-27,2009-08-27,
1378,flexi trolley anchor,guldmann,gh2 f,12461-2059-2008,,2008-08-27,2009-08-27,
1379,flexi trolley anchor,guldmann,gh2 f,12461-2063-2008,,2008-08-27,2009-08-27,
1380,flexi trolley anchor,guldmann,gh2 f,12461-2051-2008,,2008-08-27,2009-08-27,
